city,state_id,state_name,lat,lng,zips
Mount Pleasant,SC,South Carolina,32.8537,-79.8203,29466 29464 29465
Manteca,CA,California,37.7927,-121.2264,95337 95336
Westminster,CA,California,33.7523,-117.9938,92655 92683 92684 92685
Florence,SC,South Carolina,34.1780,-79.7898,29505 29506 29501 29502 29503 29504
Joplin,MO,Missouri,37.0757,-94.5018,64804 64801 64802 64803
Germantown,MD,Maryland,39.1755,-77.2643,20876 20874 20875
San Leandro,CA,California,37.7074,-122.1599,94578 94579 94577 94622
Town 'n' Country,FL,Florida,28.0106,-82.5763,33635 33634 33615 33685
Clifton,NJ,New Jersey,40.8630,-74.1575,07014 07013 07012 07011 07015
Waukegan,IL,Illinois,42.3698,-87.8716,60048 60087 60085 60079
Bloomington,MN,Minnesota,44.8306,-93.3151,55420 55425 55431 55437 55435 55438
Avondale,AZ,Arizona,33.3873,-112.3235,85353 85329 85323 85392
Atascocita,TX,Texas,29.9777,-95.1953,77346 77396
Missoula,MT,Montana,46.8751,-114.0214,59812 59808 59803 59802 59801
Fort Myers,FL,Florida,26.6194,-81.8302,33913 33916 33966 33901 33907 33905 33902 33994
Newton,MA,Massachusetts,42.3316,-71.2085,02464 02466 02461 02462 02468 02465 02467 02460 02458 02459 02456 02495
Lawrence,MA,Massachusetts,42.7002,-71.1626,01843 01840 01841 01842
Muncie,IN,Indiana,40.1989,-85.3950,47306 47305 47303 47304 47302 47307
Rapid City,SD,South Dakota,44.0716,-103.2204,57702 57703 57701
Troy,MI,Michigan,42.5817,-83.1457,48098 48083 48085 48084 48007 48099
Livermore,CA,California,37.6868,-121.7607,94550 94551
Citrus Heights,CA,California,38.6948,-121.2880,95621 95610 95611
Hawthorne,CA,California,33.9147,-118.3476,90304 90250 90251 90310
Winchester,VA,Virginia,39.1735,-78.1746,22601 22604
Springdale,AR,Arkansas,36.1901,-94.1574,72764 72762 72765 72766
Whittier,CA,California,33.9678,-118.0188,90603 90606 90602 90601 90605 90607 90608 90609
Deerfield Beach,FL,Florida,26.3050,-80.1277,33442 33441 33064 33443
Decatur,IL,Illinois,39.8557,-88.9342,62522 62523 62521 62526 62524 62525
San Ramon,CA,California,37.7624,-121.9365,94582 94583
Vineland,NJ,New Jersey,39.4653,-74.9981,08344 08360 08361 08362
Mission,TX,Texas,26.2039,-98.3256,78574 78572
Auburn,WA,Washington,47.3039,-122.2108,98001 98002 98092
Lake Forest,CA,California,33.6605,-117.6714,92610 92630 92609
Newport Beach,CA,California,33.6151,-117.8668,92662 92663 92660 92661 92625 92657 92658 92659
Melbourne,FL,Florida,28.1086,-80.6627,32934 32901 32903 32935 32904 32912 32919 32941
Brooklyn Park,MN,Minnesota,45.1112,-93.3505,55429 55428 55443 55445 55444
Bryan,TX,Texas,30.6650,-96.3807,77808 77803 77802 77801 77807 77805 77806
Westland,MI,Michigan,42.3192,-83.3805,48185 48186
Napa,CA,California,38.2975,-122.3010,94559 94558 94581
Baytown,TX,Texas,29.7587,-94.9671,77520 77523 77521 77522
Cicero,IL,Illinois,41.8445,-87.7593,60804
Anderson,IN,Indiana,40.0891,-85.6892,46016 46011 46012 46013 46014 46015 46018
Franklin,TN,Tennessee,35.9200,-86.8516,37069 37064 37067 37065 37068
Farmington Hills,MI,Michigan,42.4860,-83.3771,48336 48335 48334 48331
Buena Park,CA,California,33.8572,-118.0046,90621 90620 90622 90624
Albany,GA,Georgia,31.5776,-84.1762,31705 31721 31701 31707 31702 31703 31706 31708
Pine Hills,FL,Florida,28.5818,-81.4692,32808 32818 32710 32858 32868 32869
State College,PA,Pennsylvania,40.7909,-77.8567,16802 16803 16801 16804 16805
Redwood City,CA,California,37.5025,-122.2253,94065 94062 94063 94061
Warwick,RI,Rhode Island,41.7062,-71.4334,02818 02886 02889 02888 02887
Jackson,MI,Michigan,42.2431,-84.4038,49201 49202 49203
Cranston,RI,Rhode Island,41.7658,-71.4858,02831 02920 02905 02910 02823 02921
Largo,FL,Florida,27.9088,-82.7712,33756 33770 33760 33764 33773 33778 33771 33774 33779
Miami Beach,FL,Florida,25.8171,-80.1396,33140 33141 33139 33109 33119 33239
Alhambra,CA,California,34.0840,-118.1355,91803 91801 91802 91804 91896 91899
Johns Creek,GA,Georgia,34.0333,-84.2027,30022 30097 30005
Mountain View,CA,California,37.4001,-122.0796,94043 94040 94041 94039 94042
Salisbury,MD,Maryland,38.3756,-75.5865,21804 21801
Morgantown,WV,West Virginia,39.6383,-79.9464,26501 26505 26506 26504
Silver Spring,MD,Maryland,39.0028,-77.0207,20910 20912 20903 20901 20907 20911 20997
Layton,UT,Utah,41.0770,-111.9620,84041 84040
Springfield,OH,Ohio,39.9300,-83.7959,45503 45501 45506 45505 45504
Lakewood,CA,California,33.8471,-118.1222,90715 90712 90713 90711 90714
Florence,AL,Alabama,34.8303,-87.6655,35632 35633 35630 35631
Folsom,CA,California,38.6668,-121.1422,95630 95671 95763
Madera,CA,California,36.9630,-120.0778,93638 93637 93639
New Rochelle,NY,New York,40.9304,-73.7836,10801 10804 10805 10802
Parma,OH,Ohio,41.3843,-81.7286,44134 44130 44129
Terre Haute,IN,Indiana,39.4660,-87.3751,47804 47807 47802 47803 47809 47801 47808
Somerville,MA,Massachusetts,42.3908,-71.1014,02144 02145 02143
Flagstaff,AZ,Arizona,35.1872,-111.6194,86011 86005 86004 86001 86002
Boynton Beach,FL,Florida,26.5281,-80.0811,33426 33436 33435 33474
Homestead,FL,Florida,25.4665,-80.4472,33035 33030 33033
Newark,OH,Ohio,40.0706,-82.4250,43055 43058 43093
